300 4730
1 2 100
1 60 17
1 119 39
1 155 47
1 167 24
1 189 18
1 231 14
1 240 45
1 275 32
2 3 100
2 5 12
2 39 6
2 42 40
2 43 30
2 48 20
2 149 48
2 154 42
2 184 15
2 192 26
2 300 11
3 4 100
3 7 23
3 12 22
3 19 12
3 26 10
3 105 4
3 106 40
3 162 19
3 199 44
3 201 27
3 217 14
3 229 26
3 231 20
3 232 26
3 256 14
3 268 14
3 276 4
3 280 46
3 285 26
3 292 45
4 5 100
4 69 44
4 106 34
4 120 40
4 132 46
4 133 44
4 192 18
4 198 43
4 207 9
4 249 17
4 287 29
5 6 100
5 65 47
5 68 10
5 83 28
5 85 39
5 93 22
5 125 9
5 130 31
5 265 32
5 273 6
5 274 24
5 277 8
6 7 100
6 16 26
6 21 11
6 23 47
6 29 7
6 38 39
6 46 36
6 48 49
6 50 37
6 53 12
6 89 12
6 139 41
6 149 38
6 157 4
6 172 38
6 176 12
6 192 38
6 197 48
6 206 19
6 225 19
6 240 36
6 296 46
7 2 46
7 8 100
7 49 20
7 92 49
7 108 28
7 160 38
7 174 23
7 179 9
7 189 2
7 207 5
7 224 45
7 225 41
7 250 48
7 262 4
7 264 37
7 267 7
7 274 41
7 278 43
7 296 33
7 300 3
8 9 100
8 23 32
8 50 41
8 68 32
8 85 27
8 99 12
8 101 42
8 131 1
8 142 30
8 154 48
8 189 12
8 195 13
8 211 16
8 216 6
8 267 4
8 284 23
9 10 100
9 13 21
9 27 13
9 29 6
9 55 31
9 56 30
9 61 46
9 71 34
9 78 27
9 92 35
9 99 37
9 109 29
9 145 24
9 180 41
9 189 36
9 192 18
9 206 33
9 209 34
9 264 34
10 11 100
10 37 34
10 57 22
10 99 10
10 116 38
10 200 15
10 230 35
10 233 15
10 239 27
10 249 17
10 259 10
10 283 45
10 288 46
10 296 1
11 12 100
11 42 30
11 54 11
11 83 43
11 88 9
11 101 20
11 109 16
11 148 23
11 150 6
11 173 8
11 187 42
11 206 36
11 246 25
11 252 36
11 255 25
11 263 25
11 272 45
11 280 45
12 13 100
12 33 32
12 46 4
12 100 5
12 110 15
12 129 46
12 147 8
12 156 11
12 176 14
12 183 13
12 198 38
12 265 31
13 2 39
13 14 100
13 35 43
13 41 21
13 98 36
13 102 44
13 119 12
13 128 41
13 135 49
13 143 43
13 192 49
13 213 11
13 217 3
13 233 15
14 15 100
14 16 3
14 22 5
14 30 19
14 36 29
14 71 41
14 78 39
14 91 33
14 92 44
14 104 40
14 108 44
14 138 39
14 143 9
14 145 12
14 174 26
14 179 18
14 183 26
14 186 30
14 188 41
14 198 2
14 208 22
14 243 7
14 249 15
14 278 9
15 2 27
15 5 19
15 16 100
15 47 28
15 67 10
15 94 32
15 115 15
15 116 27
15 121 16
15 131 12
15 184 6
15 193 26
15 195 28
15 203 39
15 216 10
15 222 13
15 243 35
15 254 31
15 276 34
16 1 1
16 17 100
16 20 34
16 46 2
16 48 25
16 55 17
16 57 31
16 92 13
16 109 36
16 196 16
16 197 43
16 201 44
16 211 28
16 241 34
16 249 34
16 266 10
16 272 10
17 18 100
17 51 39
17 98 43
17 165 37
17 166 47
17 177 32
17 179 33
17 182 24
17 200 21
17 212 43
17 228 38
17 239 13
17 240 40
17 260 43
17 278 28
17 280 12
17 281 25
17 299 46
18 6 36
18 19 100
18 34 25
18 44 21
18 75 20
18 154 3
18 162 8
18 174 2
18 180 32
18 192 23
18 211 26
18 245 19
18 250 26
19 20 100
19 23 32
19 66 31
19 135 24
19 139 22
19 144 47
19 162 11
19 180 11
19 231 17
19 244 29
19 256 47
19 278 37
19 285 45
19 299 3
20 21 100
20 56 23
20 64 30
20 100 20
20 113 10
20 144 18
20 169 28
20 187 10
20 194 30
20 197 45
20 203 30
20 229 48
20 235 38
20 260 6
20 266 48
20 272 13
21 22 100
21 37 43
21 39 12
21 49 6
21 51 10
21 56 14
21 73 1
21 82 47
21 88 44
21 104 1
21 110 45
21 135 24
21 139 32
21 169 28
21 187 36
21 188 9
21 225 24
21 232 44
21 239 32
21 278 30
21 280 9
21 285 1
21 290 8
22 22 20
22 23 100
22 31 31
22 58 2
22 88 12
22 149 22
22 274 28
23 11 26
23 17 5
23 24 100
23 41 29
23 48 12
23 57 29
23 61 33
23 90 40
23 94 37
23 103 3
23 107 49
23 205 45
23 210 17
23 231 40
23 245 37
23 267 32
24 5 42
24 17 46
24 25 100
24 62 26
24 65 38
24 76 13
24 78 34
24 80 32
24 97 33
24 121 16
24 134 14
24 141 13
24 158 29
24 159 42
24 162 1
24 176 24
24 177 9
24 204 32
24 211 17
24 219 12
24 245 46
24 256 30
24 267 47
24 280 18
25 8 1
25 14 5
25 24 10
25 26 100
25 28 48
25 29 39
25 74 35
25 83 12
25 108 3
25 143 38
25 146 46
25 147 15
25 153 23
25 155 44
25 174 37
25 184 27
25 213 41
25 222 17
25 224 46
25 234 1
25 247 47
25 261 9
25 284 5
26 27 100
26 29 37
26 30 49
26 84 9
26 98 30
26 131 33
26 208 23
26 254 17
26 282 38
27 2 32
27 12 26
27 19 3
27 25 19
27 26 39
27 28 100
27 35 44
27 38 23
27 42 33
27 93 22
27 94 47
27 117 30
27 120 11
27 136 8
27 159 9
27 162 20
27 175 11
27 192 35
27 201 26
27 231 6
27 236 34
27 274 43
27 279 6
28 29 100
28 30 40
28 67 39
28 113 19
28 117 37
28 174 46
28 191 26
28 250 36
28 281 42
29 30 100
29 42 8
29 56 33
29 59 39
29 60 15
29 94 6
29 144 14
29 151 29
29 198 47
29 202 2
29 227 30
29 254 37
29 267 6
30 9 29
30 24 44
30 31 16
30 32 40
30 52 9
30 70 34
30 82 30
30 89 28
30 108 22
30 111 20
30 114 32
30 153 39
30 186 38
30 189 41
30 194 43
30 225 20
30 233 14
30 244 38
30 261 30
30 281 7
31 32 100
31 34 43
31 53 3
31 56 1
31 63 49
31 74 29
31 87 40
31 88 11
31 91 7
31 122 10
31 139 24
31 140 41
31 146 10
31 161 33
31 196 34
31 225 24
31 252 8
31 258 7
31 265 34
31 268 35
31 271 22
31 288 38
32 2 14
32 16 5
32 33 100
32 58 34
32 98 18
32 105 26
32 128 17
32 134 12
32 139 27
32 160 23
32 193 36
32 196 11
33 34 100
33 55 18
33 116 7
33 128 6
33 132 42
33 157 14
33 181 48
33 205 39
33 264 49
34 16 44
34 27 2
34 31 45
34 35 100
34 61 40
34 66 39
34 116 18
34 119 23
34 126 10
34 138 30
34 139 21
34 160 37
34 187 4
34 202 4
34 241 16
34 251 28
34 261 8
34 263 10
34 270 2
34 277 46
34 280 45
34 289 24
34 292 47
35 3 49
35 4 44
35 30 13
35 36 100
35 45 46
35 47 41
35 54 32
35 56 36
35 57 15
35 83 27
35 110 46
35 115 1
35 153 1
35 166 34
35 189 13
35 192 22
35 203 43
35 210 44
35 217 18
35 225 2
35 241 15
35 247 48
35 262 14
35 288 31
36 34 23
36 37 100
36 57 13
36 73 34
36 74 2
36 98 17
36 109 45
36 114 25
36 139 42
36 157 44
36 185 26
36 189 18
